"clust","lat","long","mobile","elect","bank","wealth","adm0","adm1","label","rural","weight"
202,0.424213,33.009498,0.555555555555556,0,NA,-0.174098888888889,"Uganda","central 2","Uganda DHS 2011",1,25.705476
204,0.412782,33.109677,0.681818181818182,0.318181818181818,NA,0.831031363636364,"Uganda","central 2","Uganda DHS 2011",1,33.693264
207,0.142807,33.319904,0.565217391304348,0,NA,-0.429228695652174,"Uganda","central 2","Uganda DHS 2011",1,39.396746
208,0.401919,32.689915,0.91304347826087,0.695652173913043,NA,1.41318695652174,"Uganda","central 2","Uganda DHS 2011",1,20.235101
211,0.374188,32.80887,0.76,0,NA,0.3290564,"Uganda","central 2","Uganda DHS 2011",1,31.51065
212,0.393434,32.843806,0.91304347826087,0.652173913043478,NA,1.0090852173913,"Uganda","central 2","Uganda DHS 2011",1,41.749554
214,0.648913,32.806294,0.56,0.04,NA,-0.1007248,"Uganda","central 2","Uganda DHS 2011",1,19.8519
217,0.714486,32.834001,0.521739130434783,0.0434782608695652,NA,-0.302865217391304,"Uganda","central 2","Uganda DHS 2011",1,17.346807
219,0,0,0.76,0.12,NA,0.2171808,"Uganda","central 2","Uganda DHS 2011",1,24.657475
221,0.562356,32.300107,0.666666666666667,0,NA,-0.0623408333333333,"Uganda","central 2","Uganda DHS 2011",1,28.5948
222,1.318664,32.462869,0.863636363636364,0.636363636363636,NA,1.31766,"Uganda","central 2","Uganda DHS 2011",0,11.080278
223,1.033063,32.539804,0.523809523809524,0,NA,-0.303457619047619,"Uganda","central 2","Uganda DHS 2011",1,25.856523
224,1.538981,32.351908,0.6,0,NA,-0.312654,"Uganda","central 2","Uganda DHS 2011",1,28.2305
226,0.57399,33.770965,0.76,0.16,NA,0.869358,"Uganda","east central","Uganda DHS 2011",0,5.21435
228,0.456971,33.843369,0.458333333333333,0,NA,-0.502064583333333,"Uganda","east central","Uganda DHS 2011",1,19.069776
230,0.437531,33.87628,0.347826086956522,0,NA,-0.765222173913043,"Uganda","east central","Uganda DHS 2011",1,25.083087
232,0.343958,33.874543,0.666666666666667,0,NA,0.264065,"Uganda","east central","Uganda DHS 2011",1,21.974256
234,0.562239,33.865912,0.434782608695652,0,NA,-0.653740434782609,"Uganda","east central","Uganda DHS 2011",1,29.919343
237,-0.114633,33.69437,0.833333333333333,0,NA,-0.4171725,"Uganda","east central","Uganda DHS 2011",1,23.609328
238,0.220286,33.763475,0.55,0,NA,-0.6829875,"Uganda","east central","Uganda DHS 2011",1,28.24924
239,0.604234,33.472354,0.85,0.4,NA,0.790205,"Uganda","east central","Uganda DHS 2011",0,24.09752
240,0.779776,33.622051,0.833333333333333,0.166666666666667,NA,0.658165833333333,"Uganda","east central","Uganda DHS 2011",0,29.636496
242,0.591379,33.558323,0.56,0.08,NA,-0.178274,"Uganda","east central","Uganda DHS 2011",1,33.693775
243,0.488264,33.564024,0.545454545454545,0,NA,-0.384339090909091,"Uganda","east central","Uganda DHS 2011",1,29.682158
246,0.870756,33.714701,0.5,0,NA,-0.205289166666667,"Uganda","east central","Uganda DHS 2011",1,5.040336
250,0.681781,33.603116,0.666666666666667,0,NA,-0.21641625,"Uganda","east central","Uganda DHS 2011",1,28.29588
252,0.713404,33.530474,0.44,0,NA,-0.5293652,"Uganda","east central","Uganda DHS 2011",1,5.1615
254,0.67762,33.35121,0.608695652173913,0,NA,-0.189541739130435,"Uganda","east central","Uganda DHS 2011",1,18.613854
256,0.689765,33.272335,0.318181818181818,0.0454545454545455,NA,-0.235471363636364,"Uganda","east central","Uganda DHS 2011",1,20.915202
259,0.630361,33.385146,0.4,0,NA,-0.3233176,"Uganda","east central","Uganda DHS 2011",1,20.02545
260,0.460316,33.198161,0.88,0.56,NA,1.2651588,"Uganda","east central","Uganda DHS 2011",0,15.069275
261,0.437969,33.2257,0.64,0.04,NA,-0.256958,"Uganda","east central","Uganda DHS 2011",0,11.1438
262,0.468878,33.210931,0.869565217391304,0.173913043478261,NA,0.730015652173913,"Uganda","east central","Uganda DHS 2011",0,29.513715
263,0.457212,33.237719,0.909090909090909,0.590909090909091,NA,1.37633454545455,"Uganda","east central","Uganda DHS 2011",0,19.936708
266,0.518711,33.197731,0.739130434782609,0.0869565217391304,NA,0.166019565217391,"Uganda","east central","Uganda DHS 2011",1,23.704329
269,0.62907,33.111307,0.434782608695652,0,NA,-0.236566086956522,"Uganda","east central","Uganda DHS 2011",1,22.57243
271,0.579556,33.23018,0.578947368421053,0.0526315789473684,NA,0.0780689473684211,"Uganda","east central","Uganda DHS 2011",1,18.253813
274,1.049169,33.216531,0.458333333333333,0,NA,-0.2264,"Uganda","east central","Uganda DHS 2011",1,25.669584
276,1.298944,33.327392,0.434782608695652,0,NA,-0.631095652173913,"Uganda","east central","Uganda DHS 2011",1,24.349226
278,1.374958,32.995319,0.666666666666667,0,NA,-0.2938675,"Uganda","east central","Uganda DHS 2011",1,35.186088
